iter	Passed	Remaining
0	3	2024
1	7	2014
2	10	1907
3	13	1840
4	16	1863
5	19	1813
6	22	1798
7	25	1768
8	28	1745
9	30	1732
10	33	1717
11	36	1704
12	39	1695
13	42	1683
14	45	1683
15	48	1679
16	51	1689
17	54	1685
18	58	1691
19	61	1682
20	64	1675
21	66	1666
22	70	1675
23	73	1666
24	76	1656
25	78	1650
26	81	1644
27	84	1638
28	87	1631
29	91	1642
30	94	1639
31	97	1634
32	100	1631
33	103	1624
34	106	1621
35	109	1618
36	112	1614
37	114	1608
38	117	1606
39	121	1611
40	124	1607
41	127	1603
42	130	1600
43	133	1594
44	137	1598
45	141	1610
46	145	1615
47	148	1619
48	151	1615
49	154	1610
50	157	1603
51	160	1600
52	163	1595
53	166	1591
54	169	1587
55	172	1583
56	175	1582
57	178	1578
58	181	1573
59	184	1568
60	187	1564
61	190	1559
62	193	1556
63	196	1551
64	199	1546
65	202	1544
66	205	1540
67	208	1537
68	211	1534
69	214	1529
70	216	1524
71	219	1519
72	222	1516
73	226	1520
74	229	1517
75	232	1513
76	235	1509
77	238	1505
78	242	1505
79	245	1501
80	248	1498
81	251	1494
82	255	1496
83	258	1493
84	261	1491
85	264	1488
86	267	1484
87	270	1481
88	273	1476
89	276	1472
90	279	1470
91	282	1466
92	285	1463
93	288	1459
94	291	1455
95	293	1451
96	297	1449
97	300	1445
98	303	1442
99	306	1438
100	309	1436
101	312	1433
102	317	1438
103	320	1434
104	323	1430
105	326	1430
106	329	1426
107	333	1426
108	336	1423
109	339	1419
110	342	1416
111	346	1417
112	350	1418
113	354	1418
114	361	1430
115	377	1476
116	382	1479
117	385	1478
118	389	1477
119	394	1478
120	403	1498
121	409	1504
122	412	1500
123	415	1495
124	419	1495
125	423	1490
126	426	1486
127	429	1481
128	431	1476
129	435	1472
130	438	1468
131	440	1463
132	443	1458
133	446	1453
134	449	1449
135	452	1444
136	455	1439
137	458	1434
138	461	1430
139	464	1427
140	467	1423
141	470	1419
142	473	1414
143	476	1410
144	479	1406
145	483	1403
146	486	1400
147	489	1396
148	492	1392
149	495	1388
150	498	1383
151	501	1378
152	504	1374
153	507	1371
154	510	1367
155	514	1364
156	517	1360
157	520	1356
158	523	1352
159	526	1347
160	528	1343
161	532	1339
162	535	1336
163	538	1331
164	540	1327
165	543	1323
166	546	1319
167	549	1315
168	552	1311
169	556	1309
170	559	1305
171	562	1301
172	565	1297
173	569	1295
174	571	1291
175	575	1287
176	577	1283
177	583	1284
178	586	1281
179	589	1277
180	593	1274
181	596	1270
182	599	1267
183	602	1263
184	605	1259
185	608	1255
186	611	1251
187	613	1247
188	620	1250
189	624	1249
190	630	1252
191	634	1249
192	637	1245
193	640	1241
194	643	1237
195	647	1234
196	650	1230
197	652	1226
198	655	1222
199	658	1218
200	661	1214
201	664	1210
202	667	1206
203	670	1202
204	673	1198
205	676	1194
206	678	1190
207	681	1186
208	684	1182
209	687	1178
210	690	1174
211	693	1170
212	696	1166
213	699	1163
214	702	1159
215	705	1155
216	708	1152
217	711	1148
218	714	1144
219	717	1140
220	719	1136
221	723	1134
222	726	1130
223	729	1126
224	732	1122
225	734	1118
226	738	1116
227	741	1112
228	745	1109
229	748	1106
230	751	1102
231	754	1098
232	756	1094
233	759	1091
234	762	1087
235	765	1083
236	768	1079
237	771	1076
238	774	1072
239	777	1068
240	780	1065
241	783	1061
242	786	1058
243	789	1054
244	792	1050
245	795	1047
246	798	1043
247	801	1040
248	804	1037
249	807	1033
250	810	1029
251	813	1026
252	816	1022
253	819	1019
254	822	1016
255	825	1012
256	828	1009
257	831	1006
258	834	1002
259	840	1002
260	844	999
261	847	996
262	851	994
263	855	991
264	858	988
265	862	985
266	867	984
267	875	986
268	880	985
269	886	984
270	891	983
271	897	983
272	902	981
273	906	979
274	910	976
275	914	974
276	918	971
277	922	969
278	926	966
279	930	964
280	934	961
281	938	958
282	942	956
283	946	953
284	952	952
285	956	949
286	959	946
287	963	943
288	967	940
289	970	936
290	973	933
291	976	929
292	978	925
293	981	921
294	985	918
295	988	915
296	991	911
297	995	908
298	998	904
299	1001	901
300	1004	897
301	1007	894
302	1010	890
303	1013	886
304	1016	883
305	1019	879
306	1022	875
307	1024	871
308	1028	868
309	1031	865
310	1034	861
311	1037	857
312	1039	853
313	1042	850
314	1045	846
315	1048	843
316	1051	839
317	1054	835
318	1057	832
319	1061	829
320	1064	825
321	1067	822
322	1070	818
323	1073	815
324	1076	811
325	1079	808
326	1082	804
327	1085	801
328	1088	797
329	1091	793
330	1094	790
331	1097	786
332	1100	783
333	1103	779
334	1107	776
335	1110	773
336	1113	769
337	1115	765
338	1119	762
339	1121	758
340	1124	755
341	1128	752
342	1131	748
343	1134	745
344	1137	741
345	1140	738
346	1143	734
347	1146	731
348	1149	727
349	1152	724
350	1155	720
351	1158	717
352	1161	713
353	1164	710
354	1167	706
355	1173	705
356	1177	702
357	1180	699
358	1185	697
359	1189	693
360	1193	690
361	1197	688
362	1200	684
363	1205	682
364	1213	681
365	1221	680
366	1225	678
367	1229	674
368	1231	671
369	1234	667
370	1237	663
371	1240	660
372	1243	656
373	1246	653
374	1249	649
375	1252	646
376	1255	642
377	1258	639
378	1261	635
379	1264	632
380	1267	628
381	1270	625
382	1272	621
383	1275	618
384	1279	615
385	1282	611
386	1285	607
387	1288	604
388	1291	600
389	1294	597
390	1297	593
391	1301	590
392	1304	587
393	1306	583
394	1309	580
395	1312	576
396	1315	573
397	1318	569
398	1321	566
399	1324	562
400	1327	559
401	1330	556
402	1333	552
403	1336	549
404	1339	545
405	1343	542
406	1347	539
407	1350	536
408	1353	532
409	1355	529
410	1358	525
411	1361	522
412	1364	518
413	1367	515
414	1370	511
415	1373	508
416	1376	505
417	1379	501
418	1382	498
419	1385	494
420	1388	491
421	1391	488
422	1394	484
423	1397	481
424	1400	477
425	1403	474
426	1406	471
427	1409	467
428	1412	464
429	1415	460
430	1418	457
431	1422	454
432	1425	450
433	1427	447
434	1430	444
435	1433	440
436	1436	437
437	1439	433
438	1443	430
439	1447	427
440	1450	424
441	1453	420
442	1456	417
443	1459	414
444	1462	410
445	1465	407
446	1468	403
447	1470	400
448	1473	397
449	1476	393
450	1480	390
451	1483	387
452	1485	383
453	1489	380
454	1492	377
455	1495	373
456	1498	370
457	1501	367
458	1504	363
459	1507	360
460	1510	357
461	1513	353
462	1516	350
463	1519	347
464	1522	343
465	1525	340
466	1528	337
467	1531	333
468	1533	330
469	1536	326
470	1539	323
471	1546	321
472	1550	317
473	1553	314
474	1556	311
475	1559	308
476	1562	304
477	1565	301
478	1568	298
479	1571	294
480	1574	291
481	1578	288
482	1581	284
483	1584	281
484	1587	278
485	1590	274
486	1595	271
487	1602	269
488	1605	265
489	1609	262
490	1616	260
491	1621	257
492	1625	253
493	1628	250
494	1631	247
495	1634	243
496	1637	240
497	1640	237
498	1643	233
499	1646	230
500	1648	227
501	1651	223
502	1654	220
503	1657	217
504	1660	213
505	1663	210
506	1666	207
507	1669	203
508	1672	200
509	1675	197
510	1678	193
511	1681	190
512	1685	187
513	1687	183
514	1690	180
515	1693	177
516	1696	173
517	1699	170
518	1702	167
519	1705	163
520	1708	160
521	1711	157
522	1714	154
523	1717	150
524	1720	147
525	1723	144
526	1725	140
527	1728	137
528	1731	134
529	1734	130
530	1737	127
531	1740	124
532	1743	121
533	1746	117
534	1749	114
535	1753	111
536	1756	107
537	1759	104
538	1762	101
539	1765	98
540	1768	94
541	1771	91
542	1774	88
543	1777	84
544	1780	81
545	1783	78
546	1786	75
547	1789	71
548	1792	68
549	1794	65
550	1797	61
551	1800	58
552	1803	55
553	1806	52
554	1810	48
555	1813	45
556	1815	42
557	1819	39
558	1822	35
559	1825	32
560	1828	29
561	1831	26
562	1834	22
563	1837	19
564	1840	16
565	1843	13
566	1848	9
567	1855	6
568	1861	3
569	1866	0
